LpiOutput,label,pred
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
SSH,5,3
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
Unknown_TCP,1,6
SSH,3,3
SSL/TLS,4,4
Unknown_TCP,1,6
HTTP_NonStandard,2,2
Unknown_TCP,1,6
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
SSH,3,3
FTP_Control,0,0
FTP_Control,0,0
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
SSH,5,3
SSH,5,3
SSH,3,3
Unknown_TCP,1,6
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
FTP_Data,1,0
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,3,3
SSH,3,3
SSH,3,3
FTP_Control,0,0
SSH,3,3
SSH,3,3
SSH,3,3
SSH,5,3
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
SSL/TLS,4,4
FTP_Data,1,0
SSH,5,3
SSH,5,3
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
SSH,3,3
SSH,3,3
FTP_Data,1,0
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Control,0,0
FTP_Control,0,0
FTP_Data,1,0
SSH,5,3
FTP_Control,0,0
SSH,3,3
SSH,3,3
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,3,3
FTP_Control,0,0
SSH,3,3
SSH,5,3
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
SSH,5,3
SSH,3,3
SSL/TLS,4,4
SSH,3,3
SSH,5,3
SSH,3,3
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,5,3
FTP_Control,0,0
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,5,3
SSH,3,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Control,0,0
FTP_Control,0,0
FTP_Data,1,0
SSH,5,3
SSH,3,3
FTP_Data,1,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
FTP_Control,0,0
FTP_Data,1,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Data,1,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSH,5,3
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
SSL/TLS,4,4
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
FTP_Data,1,0
FTP_Data,1,0
SSH,3,3
FTP_Data,1,0
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
FTP_Control,0,0
FTP_Control,0,0
FTP_Control,0,0
SSH,5,3
SSH,3,3
SSH,3,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
FTP_Control,0,0
HTTP_NonStandard,2,2
Unknown_TCP,1,6
Unknown_TCP,1,6
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
SSH,3,3
SSL/TLS,4,4
FTP_Data,1,0
SSH,5,3
SSL/TLS,4,4
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Data,1,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
SSH,5,3
FTP_Control,0,0
SSH,5,3
Unknown_TCP,1,6
SSH,5,3
SSH,5,3
SSH,3,3
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
FTP_Data,1,0
SSH,5,3
SSH,5,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Data,1,0
Unknown_TCP,1,6
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,5,3
SSH,5,3
FTP_Data,1,0
SSH,3,3
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
SSL/TLS,4,4
Unknown_TCP,1,6
HTTP_NonStandard,2,2
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
Unknown_TCP,1,6
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
Unknown_TCP,1,6
SSH,5,3
FTP_Control,0,0
FTP_Data,1,0
Unknown_TCP,1,6
SSH,3,3
SSL/TLS,4,4
SSH,3,3
HTTP_NonStandard,2,2
FTP_Data,1,0
SSH,5,3
SSH,3,3
FTP_Control,0,0
FTP_Control,0,0
Unknown_TCP,1,6
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,5,3
FTP_Control,0,0
SSH,5,3
SSH,3,3
FTP_Control,0,0
SSH,5,3
HTTP_NonStandard,2,2
SSH,5,3
FTP_Control,0,0
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
FTP_Data,1,0
HTTP_NonStandard,2,2
Unknown_TCP,1,6
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
FTP_Data,1,0
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
Unknown_TCP,1,6
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Data,1,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
SSH,5,3
SSH,5,3
Unknown_TCP,1,6
FTP_Control,0,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
FTP_Data,1,0
SSH,3,3
SSH,3,3
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
SSH,5,3
SSL/TLS,4,4
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,5,3
FTP_Control,0,0
Unknown_TCP,1,6
SSL/TLS,4,4
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,5,3
SSL/TLS,4,4
SSH,3,3
Unknown_TCP,1,6
FTP_Control,0,0
FTP_Control,0,0
FTP_Data,1,0
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
SSH,3,3
SSH,5,3
FTP_Data,1,0
SSL/TLS,4,4
SSL/TLS,4,4
FTP_Data,1,0
Unknown_TCP,1,6
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Control,0,0
Unknown_TCP,1,6
SSH,3,3
SSH,5,3
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
SSH,5,3
SSH,3,3
SSH,3,3
FTP_Control,0,0
SSH,5,3
HTTP_NonStandard,2,2
Unknown_TCP,1,6
FTP_Control,0,0
SSH,5,3
HTTP_NonStandard,2,2
FTP_Data,1,0
Unknown_TCP,1,6
FTP_Data,1,0
SSH,3,3
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,3,3
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
SSH,3,3
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
SSH,5,3
SSH,5,3
SSH,3,3
SSH,5,3
FTP_Data,1,0
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
FTP_Data,1,0
SSH,5,3
FTP_Data,1,0
FTP_Control,0,0
FTP_Control,0,0
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,5,3
SSH,5,3
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,5,3
FTP_Data,1,0
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
FTP_Data,1,0
FTP_Control,0,0
SSH,5,3
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
SSH,5,3
FTP_Data,1,0
Unknown_TCP,1,6
SSH,3,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
SSH,3,3
FTP_Control,0,0
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
SSH,5,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
HTTP_NonStandard,2,2
SSH,3,3
Unknown_TCP,1,6
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,5,3
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
Unknown_TCP,1,6
HTTP_NonStandard,2,2
FTP_Data,1,0
Unknown_TCP,1,6
FTP_Control,0,0
SSH,3,3
SSH,5,3
FTP_Data,1,0
SSH,3,3
SSL/TLS,4,4
SSH,3,3
HTTP_NonStandard,2,2
FTP_Data,1,0
SSL/TLS,4,4
FTP_Control,0,0
SSH,5,3
HTTP_NonStandard,2,2
Unknown_TCP,1,6
FTP_Control,0,0
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
SSH,3,3
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Data,1,0
SSH,5,3
FTP_Control,0,0
SSH,5,3
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,5,3
FTP_Control,0,0
SSH,3,3
FTP_Data,1,0
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
FTP_Data,1,0
SSH,5,3
FTP_Data,1,0
FTP_Control,0,0
SSH,3,3
SSH,5,3
SSH,5,3
SSH,3,3
SSH,5,3
SSH,5,3
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
FTP_Control,0,0
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSL/TLS,4,4
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
SSH,3,3
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,5,3
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,3,3
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
SSH,5,3
SSH,3,3
Unknown_TCP,1,6
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSL/TLS,4,4
SSH,3,3
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
SSH,5,3
SSL/TLS,4,4
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
SSH,5,3
FTP_Control,0,0
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,3,3
SSL/TLS,4,4
Unknown_TCP,1,6
SSH,3,3
SSH,3,3
Unknown_TCP,1,6
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
SSL/TLS,4,4
FTP_Control,0,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
FTP_Data,1,0
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
FTP_Control,0,0
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,3,3
SSH,5,3
HTTP_NonStandard,2,2
SSH,3,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Data,1,0
SSH,5,3
SSH,5,3
SSH,3,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
FTP_Data,1,0
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
SSH,5,3
FTP_Data,1,0
SSH,3,3
SSH,5,3
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
SSH,3,3
FTP_Data,1,0
SSH,5,3
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
FTP_Control,0,0
SSH,3,3
FTP_Data,1,0
SSH,3,3
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
SSH,5,3
FTP_Control,0,0
SSH,3,3
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
SSH,5,3
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
Unknown_TCP,1,6
Unknown_TCP,1,6
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSH,3,3
SSH,5,3
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
SSH,3,3
SSL/TLS,4,4
SSH,5,3
SSH,5,3
FTP_Control,0,0
HTTP_NonStandard,2,2
FTP_Data,1,0
FTP_Data,1,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,5,3
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
SSH,3,3
Unknown_TCP,1,6
HTTP_NonStandard,2,2
SSH,3,3
FTP_Data,1,0
SSL/TLS,4,4
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSL/TLS,4,4
FTP_Data,1,0
FTP_Data,1,0
FTP_Control,0,0
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
SSH,3,3
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
FTP_Control,0,0
SSH,3,3
SSH,5,3
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
FTP_Control,0,0
FTP_Control,0,0
SSH,5,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,5,3
FTP_Data,1,0
FTP_Control,0,0
HTTP_NonStandard,2,2
Unknown_TCP,1,6
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,3,3
FTP_Control,0,0
FTP_Control,0,0
SSL/TLS,4,4
SSH,5,3
SSH,5,3
FTP_Control,0,0
Unknown_TCP,1,6
SSH,3,3
SSH,3,3
SSH,5,3
SSL/TLS,4,4
SSH,5,3
FTP_Data,1,0
SSH,5,3
SSH,5,3
SSL/TLS,4,4
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
FTP_Data,1,0
SSH,5,3
FTP_Control,0,0
SSH,3,3
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
Unknown_TCP,1,6
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
FTP_Data,1,0
SSL/TLS,4,4
FTP_Data,1,0
FTP_Control,0,0
HTTP_NonStandard,2,2
FTP_Data,1,0
SSH,5,3
SSH,3,3
SSH,5,3
FTP_Control,0,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Data,1,0
Unknown_TCP,1,6
FTP_Control,0,0
SSH,3,3
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
SSH,5,3
SSH,3,3
SSH,3,3
FTP_Data,1,0
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,3,3
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
SSH,5,3
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
SSH,5,3
FTP_Control,0,0
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
SSH,5,3
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,3,3
Unknown_TCP,1,6
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
SSH,3,3
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
FTP_Data,1,0
SSH,5,3
SSL/TLS,4,4
FTP_Data,1,0
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
SSH,3,3
FTP_Control,0,0
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
SSH,3,3
SSH,3,3
FTP_Data,1,0
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Control,0,0
Unknown_TCP,1,6
HTTP_NonStandard,2,2
FTP_Data,1,0
SSL/TLS,4,4
SSH,3,3
FTP_Data,1,0
FTP_Control,0,0
FTP_Data,1,0
FTP_Data,1,0
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
SSH,5,3
SSH,5,3
SSH,3,3
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
SSH,5,3
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
SSH,5,3
Unknown_TCP,1,6
FTP_Control,0,0
SSH,3,3
SSH,3,3
SSL/TLS,4,4
SSH,5,3
FTP_Data,1,0
FTP_Control,0,0
FTP_Data,1,0
SSH,5,3
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
FTP_Data,1,0
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
SSL/TLS,4,4
SSH,5,3
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,5,3
SSH,3,3
Unknown_TCP,1,6
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,5,3
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
Unknown_TCP,1,6
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,5,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
Unknown_TCP,1,6
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,5,3
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
FTP_Control,0,0
SSH,5,3
SSL/TLS,4,4
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
FTP_Control,0,0
SSH,5,3
SSH,5,3
SSH,5,3
FTP_Control,0,0
SSH,3,3
SSH,3,3
SSH,5,3
SSH,5,3
HTTP_NonStandard,2,2
SSH,3,3
FTP_Data,1,0
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,5,3
FTP_Data,1,0
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,3,3
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,5,3
FTP_Control,0,0
SSH,5,3
SSH,5,3
SSH,5,3
SSH,3,3
FTP_Data,1,0
SSL/TLS,4,4
SSH,5,3
FTP_Data,1,0
FTP_Data,1,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
SSH,3,3
SSL/TLS,4,4
HTTP_NonStandard,2,2
FTP_Control,0,0
SSL/TLS,4,4
FTP_Control,0,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,3,3
FTP_Control,0,0
SSH,5,3
FTP_Control,0,0
FTP_Data,1,0
Unknown_TCP,1,6
FTP_Control,0,0
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Data,1,0
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Data,1,0
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
SSH,3,3
FTP_Data,1,0
SSH,3,3
SSL/TLS,4,4
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Control,0,0
FTP_Control,0,0
FTP_Data,1,0
SSH,3,3
SSH,5,3
HTTP_NonStandard,2,2
SSH,3,3
SSH,5,3
FTP_Control,0,0
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
SSL/TLS,4,4
FTP_Control,0,0
SSL/TLS,4,4
FTP_Data,1,0
SSH,3,3
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
SSL/TLS,4,4
SSH,3,3
SSH,5,3
FTP_Control,0,0
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
SSH,3,3
SSH,5,3
SSH,3,3
SSH,5,3
FTP_Data,1,0
HTTP_NonStandard,2,2
SSH,5,3
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
SSH,5,3
SSH,3,3
FTP_Control,0,0
FTP_Data,1,0
Unknown_TCP,1,6
SSL/TLS,4,4
SSH,5,3
FTP_Control,0,0
SSL/TLS,4,4
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
SSH,3,3
HTTP_NonStandard,2,2
SSH,5,3
SSH,3,3
HTTP_NonStandard,2,2
SSL/TLS,4,4
FTP_Data,1,0
FTP_Control,0,0
SSL/TLS,4,4
SSL/TLS,4,4
SSH,3,3
SSL/TLS,4,4
FTP_Data,1,0
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
SSH,5,3
SSH,5,3
SSH,5,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
FTP_Control,0,0
SSH,3,3
HTTP_NonStandard,2,2
HTTP_NonStandard,2,2
SSL/TLS,4,4
